run_name	barcode_id	sample_id	primer_scheme
library1-2018-01-09	BC01	ZK0152	ZIKV_KJ776791
library1-2018-01-09	BC02	ZK0152	ZIKV_KJ776791
library1-2018-01-09	BC03	ZIKA_03.1074	ZIKV_KJ776791
library1-2018-01-09	BC04	ZIKA_03.1074	ZIKV_KJ776791
library1-2018-01-09	BC05	ZIKA_03.0292	ZIKV_KJ776791
library1-2018-01-09	BC06	ZIKA_03.0292	ZIKV_KJ776791
library1-2018-01-09	BC07	ZIKA_03.0292_2	ZIKV_KJ776791
library1-2018-01-09	BC08	ZIKA_03.0292_2	ZIKV_KJ776791
library1-2018-01-09	BC09	ZIKA_03.0292_3	ZIKV_KJ776791
library1-2018-01-09	BC10	ZIKA_03.0292_3	ZIKV_KJ776791
library2-2018-01-15	BC01	ZIKA_03.0430	ZIKV_KJ776791
library2-2018-01-15	BC02	ZIKA_03.0430	ZIKV_KJ776791
library2-2018-01-15	BC03	ZIKA_03.0058	ZIKV_KJ776791
library2-2018-01-15	BC04	ZIKA_03.0058	ZIKV_KJ776791
library2-2018-01-15	BC05	ZIKA_03.0123	ZIKV_KJ776791
library2-2018-01-15	BC06	ZIKA_03.0123	ZIKV_KJ776791
library2-2018-01-15	BC07	ZK0099	ZIKV_KJ776791
library2-2018-01-15	BC08	ZK0099	ZIKV_KJ776791
library2-2018-01-15	BC09	ZIKA_03.0176	ZIKV_KJ776791
library2-2018-01-15	BC10	ZIKA_03.0176	ZIKV_KJ776791
library3-2018-02-28	BC01	ZK0075	ZIKV_KJ776791
library3-2018-02-28	BC02	ZK0075	ZIKV_KJ776791
library3-2018-02-28	BC03	ZK0110	ZIKV_KJ776791
library3-2018-02-28	BC04	ZK0110	ZIKV_KJ776791
library3-2018-02-28	BC05	ZK0111	ZIKV_KJ776791
library3-2018-02-28	BC06	ZK0111	ZIKV_KJ776791
library3-2018-02-28	BC07	ZK0128	ZIKV_KJ776791
library3-2018-02-28	BC08	ZK0128	ZIKV_KJ776791
library3-2018-02-28	BC09	ZK0141	ZIKV_KJ776791
library3-2018-02-28	BC10	ZK0141	ZIKV_KJ776791
library4-2018-03-02	BC01	ZK0075_2	ZIKV_KJ776791
library4-2018-03-02	BC02	ZK0075_2	ZIKV_KJ776791
library4-2018-03-02	BC03	ZK0110_2	ZIKV_KJ776791
library4-2018-03-02	BC04	ZK0110_2	ZIKV_KJ776791
library4-2018-03-02	BC05	ZK0111_2	ZIKV_KJ776791
library4-2018-03-02	BC06	ZK0111_2	ZIKV_KJ776791
library4-2018-03-02	BC07	ZK0128_2	ZIKV_KJ776791
library4-2018-03-02	BC08	ZK0128_2	ZIKV_KJ776791
